0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.23368892,0.80689514,-4.6536735e-07,0.24471553,0.6683383,-0.0028975126,0.28198996,0.5311097,-0.017088085,0.31437933,0.42677623,-0.03365064,0.3241252,0.3446807,-0.04494178,0.3610314,0.52569544,-0.022595173,0.47736633,0.5399008,-0.04807584,0.45360684,0.57521105,-0.060365815,0.4095921,0.5856798,-0.065431274,0.38101265,0.5929319,-0.035656445,0.49142894,0.6058883,-0.046607483,0.45930618,0.6374401,-0.04135089,0.4158292,0.640171,-0.040371247,0.39745227,0.6706796,-0.04982905,0.50125325,0.6728556,-0.057286657,0.4687559,0.6985649,-0.036309198,0.426898,0.7033188,-0.024667474,0.40875542,0.7516877,-0.06455098,0.49449277,0.73641086,-0.06311393,0.46225715,0.7553782,-0.04036095,0.42211455,0.76038027,-0.02496105
0.3582067,0.7585409,-4.542105e-07,0.4002476,0.6266594,-0.01307896,0.46976215,0.5115064,-0.029467179,0.5319926,0.42656547,-0.044332616,0.56113154,0.34965628,-0.053430777,0.5684544,0.5711333,-0.028916916,0.65056324,0.631785,-0.04172216,0.6205207,0.650072,-0.045702137,0.5810914,0.6398511,-0.047267456,0.5718997,0.6568769,-0.033718698,0.6433952,0.703171,-0.03162449,0.6143378,0.71546376,-0.024659572,0.5780133,0.70798796,-0.025086852,0.56640255,0.7425904,-0.038876463,0.632389,0.77247244,-0.034500502,0.60716146,0.7786818,-0.016675325,0.5718822,0.7737202,-0.010100979,0.55638343,0.8229894,-0.045376506,0.61369777,0.8282846,-0.038199663,0.5901261,0.827743,-0.01811194,0.5606429,0.82476944,-0.0052235383
0.50045824,0.84803516,-1.3542565e-07,0.49527192,0.7067889,-0.008079269,0.5325248,0.57308125,-0.019073606,0.5756363,0.4742646,-0.029558314,0.58964723,0.3926202,-0.03704101,0.64399403,0.5866119,-0.006183821,0.72496575,0.5889994,-0.007125283,0.7396461,0.61169654,-0.0074516637,0.73267496,0.6291744,-0.008093669,0.67631346,0.6576718,-0.00973706,0.74842274,0.6556603,-0.00043962456,0.7441048,0.67415684,0.0039642253,0.7229647,0.6883284,0.0029986186,0.69573224,0.73325515,-0.013148628,0.76046884,0.72323215,-0.0037809447,0.7528718,0.73556584,0.010668558,0.73032624,0.7445965,0.01581441,0.7074912,0.8127099,-0.017263507,0.754392,0.7831529,-0.0070986217,0.73891187,0.79159087,0.013413407,0.71633756,0.8015209,0.027474772
0.27336767,0.7700386,-3.8311035e-07,0.26470506,0.65424895,-0.009453229,0.27255264,0.5130088,-0.02887012,0.27404892,0.41123623,-0.048630044,0.26106146,0.33428025,-0.06336632,0.33940047,0.4811554,-0.042625662,0.45712835,0.4695494,-0.071451955,0.4378455,0.5085204,-0.08394674,0.39763746,0.525694,-0.089732885,0.36353475,0.5408191,-0.054087766,0.48109686,0.52872944,-0.071161225,0.4541663,0.56464446,-0.06569806,0.411057,0.5779568,-0.0640085,0.38837314,0.61010957,-0.06630604,0.49492645,0.5908013,-0.07613152,0.46716613,0.6210348,-0.05552023,0.42672926,0.63410497,-0.044522505,0.41259915,0.6822748,-0.079614386,0.4934234,0.65185434,-0.080109194,0.46677288,0.67467827,-0.06061121,0.43056047,0.6852862,-0.048282623
0.22501522,0.73511803,-4.2550704e-07,0.20322452,0.6128402,-0.007784719,0.1909823,0.4843866,-0.028358893,0.17151864,0.3871637,-0.050444935,0.13692543,0.31962225,-0.068335496,0.2840121,0.43134218,-0.0268912,0.38197777,0.40684932,-0.049062986,0.36778015,0.45114374,-0.06284875,0.3315101,0.4747456,-0.07065121,0.32093096,0.48099688,-0.03782946,0.4109077,0.45882103,-0.04514092,0.39312184,0.50060314,-0.042398114,0.35713536,0.5216659,-0.04421976,0.35591346,0.5406614,-0.04975067,0.43377158,0.51344705,-0.051265202,0.41458622,0.54713464,-0.033689916,0.3797095,0.5686209,-0.026218751,0.3857935,0.60392565,-0.06306302,0.442442,0.5670842,-0.057770066,0.42142457,0.59458935,-0.037003625,0.39125967,0.6141634,-0.023953972
0.2695024,0.71010184,-4.5186965e-07,0.27269837,0.579596,-0.01114571,0.29814938,0.442163,-0.028639553,0.33152777,0.33809078,-0.04551521,0.35660842,0.2598547,-0.055533607,0.38148257,0.44343656,-0.0354919,0.49417168,0.43684953,-0.05830627,0.4682385,0.46707553,-0.06515211,0.425702,0.47602358,-0.06607475,0.40629423,0.51423997,-0.04251793,0.50884914,0.50419647,-0.051491495,0.47783566,0.5296892,-0.04318438,0.43668252,0.53602654,-0.0398703,0.42676556,0.58902436,-0.05057393,0.51876694,0.5707373,-0.055788744,0.4887845,0.5911483,-0.034589145,0.4493814,0.60122645,-0.022927579,0.44277224,0.66345036,-0.059595756,0.51457435,0.6293098,-0.058803976,0.48565817,0.6439353,-0.03818004,0.45092,0.6544856,-0.023945538
0.38536784,0.70949006,-4.4550325e-07,0.4068581,0.5738927,-0.011802285,0.45353165,0.44366193,-0.02867971,0.5038341,0.3432981,-0.04488982,0.53264844,0.2663159,-0.055356707,0.5518832,0.47286338,-0.026973378,0.6513446,0.50000083,-0.045299463,0.6248974,0.5245613,-0.052586578,0.589381,0.52852076,-0.05496514,0.5694944,0.55058855,-0.032020133,0.65979224,0.5649792,-0.03483221,0.62928116,0.58463824,-0.0264384,0.5923514,0.5897337,-0.023461662,0.57941896,0.6304992,-0.0382857,0.65464944,0.63651913,-0.037749197,0.6273973,0.6489855,-0.019076472,0.59268486,0.65527844,-0.00979063,0.5841072,0.7092121,-0.045740217,0.64189255,0.6916143,-0.039210726,0.6136409,0.6990237,-0.018932834,0.58373916,0.70622027,-0.0053480593
0.51295334,0.7651773,-1.244188e-07,0.49817416,0.64311117,-0.01985811,0.5186242,0.5211092,-0.033369817,0.55421203,0.42841116,-0.044262566,0.5776608,0.35506463,-0.04990493,0.6266305,0.5289021,-0.013492151,0.6956994,0.5023062,-0.025564859,0.69804156,0.5149795,-0.03261676,0.6824056,0.5323539,-0.03479824,0.6645234,0.5912186,-0.010911388,0.72968775,0.56120235,-0.013169593,0.7351601,0.566843,-0.015240136,0.7244039,0.57845116,-0.017434932,0.68872535,0.6549584,-0.010566329,0.744449,0.626535,-0.012051822,0.7528678,0.61918265,-0.0056310403,0.745931,0.61757946,-0.0017510249,0.7040444,0.7188331,-0.011723375,0.74777776,0.6794713,-0.010487817,0.7580281,0.66178,0.00047850847,0.7573207,0.6493497,0.010142736
0.67484146,0.9456463,-5.573106e-07,0.65466374,0.8125278,-0.0365368,0.68620926,0.697062,-0.053131737,0.72699827,0.60029054,-0.061349463,0.75320625,0.51876765,-0.06498109,0.83476925,0.71607107,-0.022061264,0.7980342,0.6807636,-0.0155574605,0.7610801,0.7043398,-0.015466042,0.74237293,0.7364563,-0.018567763,0.8667952,0.782075,-0.0059865774,0.8234042,0.73984236,0.0033752276,0.7900422,0.75732297,-0.0022667593,0.7698786,0.7881108,-0.011894757,0.8726409,0.84308153,0.010289031,0.83898187,0.80087525,0.01524497,0.81267405,0.8114289,0.013696899,0.79380023,0.8362378,0.007929148,0.8686726,0.8935053,0.024273796,0.8459445,0.8528803,0.023338746,0.8202101,0.8605606,0.02754636,0.80351347,0.8807326,0.03130014
0.38712,0.84915984,-4.977092e-07,0.4121283,0.7079569,-0.008391754,0.46260798,0.5775486,-0.028107686,0.50816345,0.4748032,-0.047506858,0.52304196,0.38828358,-0.06164966,0.56787497,0.62713337,-0.038870085,0.6723693,0.6399292,-0.054279514,0.6415014,0.6638528,-0.056701414,0.59669846,0.6676747,-0.05593338,0.5835315,0.7120403,-0.046306234,0.67284536,0.7186809,-0.045023143,0.6431886,0.7374613,-0.03471668,0.6040712,0.74130434,-0.033021536,0.5902763,0.7971243,-0.053012464,0.66963696,0.79336363,-0.04706721,0.6427406,0.80371505,-0.025709085,0.6041892,0.80666876,-0.018095978,0.5913707,0.87672573,-0.060365215,0.6537353,0.8538219,-0.051623404,0.6268366,0.8558246,-0.028602941,0.5937414,0.8576818,-0.014584366
